frame,kp_0_x,kp_1_x,kp_2_x,kp_3_x,kp_4_x,kp_5_x,kp_6_x,kp_7_x,kp_8_x,kp_9_x,kp_10_x,kp_11_x,kp_12_x,kp_13_x,kp_14_x,kp_15_x,kp_16_x,kp_0_y,kp_1_y,kp_2_y,kp_3_y,kp_4_y,kp_5_y,kp_6_y,kp_7_y,kp_8_y,kp_9_y,kp_10_y,kp_11_y,kp_12_y,kp_13_y,kp_14_y,kp_15_y,kp_16_y,kp_0_conf,kp_1_conf,kp_2_conf,kp_3_conf,kp_4_conf,kp_5_conf,kp_6_conf,kp_7_conf,kp_8_conf,kp_9_conf,kp_10_conf,kp_11_conf,kp_12_conf,kp_13_conf,kp_14_conf,kp_15_conf,kp_16_conf
0,292.77417,325.9936,254.81467,372.26633,202.66292,411.0028,180.79425,443.08093,162.37527,391.65906,157.48769,370.14465,220.77602,393.54987,220.17583,341.12335,272.83347,466.8407,430.75272,435.62726,417.10895,427.7564,465.59033,472.95557,468.39246,468.25183,472.87512,481.84473,464.40405,465.50818,456.81042,453.69202,457.47583,457.2166,0.96814984,0.9852421,0.98446333,0.6759329,0.615947,0.23417783,0.23279089,0.018882513,0.029742718,0.07054615,0.08768585,0.005573541,0.0073275566,0.002952814,0.0037531853,0.003191799,0.003829211
1,293.82486,326.51053,253.79773,373.71942,197.96269,412.08563,180.85883,441.05743,162.71744,374.25104,160.88857,371.0495,223.2771,393.72025,229.52197,335.69913,287.6818,468.95734,431.89944,438.51715,412.00577,426.75342,463.51233,472.7569,474.6416,473.1626,469.89313,482.0421,474.94592,477.161,458.0976,456.90375,454.48413,457.4276,0.9673563,0.98447144,0.9853798,0.648517,0.63336873,0.22684392,0.22588578,0.015819699,0.02503246,0.06343159,0.079829246,0.0044882,0.0059491694,0.0028217137,0.0036417246,0.003544271,0.0042634606
2,294.4902,327.6027,255.54904,373.13058,201.89938,410.4875,181.22125,442.39362,165.5382,388.3954,167.0034,370.29755,221.90222,394.3271,226.13583,342.67535,280.10373,467.44727,430.30426,435.7937,416.3668,428.43784,465.5716,474.48834,468.37604,469.4386,473.719,480.0365,461.55096,463.7135,457.0365,455.81073,456.07776,457.23114,0.9725082,0.98636675,0.98682904,0.6654017,0.64627564,0.24877474,0.24800438,0.019979477,0.03138438,0.07930502,0.10001755,0.005665958,0.0073750317,0.002960384,0.0037683547,0.0030207634,0.0036036372
3,293.0651,326.44635,254.00122,373.05124,201.21927,412.8329,181.70572,443.21234,165.94038,383.54984,158.86568,372.16898,222.35909,395.11777,224.43478,341.27808,278.72153,468.9944,431.27783,437.07397,417.5413,430.30695,467.68292,476.60205,469.2898,469.3689,471.04077,481.93457,461.31018,462.92285,457.00928,454.8753,457.69092,458.6996,0.9669149,0.98479426,0.9835341,0.6681589,0.5945317,0.21976689,0.21357283,0.018046051,0.027098596,0.075017065,0.089456916,0.0051529408,0.006696075,0.00291875,0.0036738813,0.0030548573,0.0036420226
4,292.3242,325.8946,253.74664,373.1719,202.3875,414.80322,181.24734,446.12082,166.87784,388.06705,166.5331,374.0454,223.11679,396.89072,226.61322,341.6247,285.83685,469.6577,431.5706,437.11768,418.4295,430.5548,470.06396,478.60156,471.22632,471.40454,472.8579,480.73413,461.86047,463.38873,461.15375,458.61426,464.79272,464.9973,0.9668671,0.9855188,0.98355997,0.6880499,0.5886401,0.20549661,0.21027651,0.014658779,0.02463746,0.06351435,0.08271086,0.004545778,0.00617519,0.0027908683,0.0037286878,0.002980709,0.003721267
5,294.05896,326.11633,255.4392,370.3269,201.5028,408.20013,178.90067,435.5169,153.94952,379.73065,141.93622,363.70438,215.4075,383.8945,208.83759,322.68747,256.8349,463.5498,427.45364,433.83307,413.84647,427.6731,461.94232,472.76135,469.5794,473.37244,475.67145,489.03833,459.46716,461.7484,457.11774,456.66028,452.9215,454.77063,0.97124565,0.9862908,0.9858125,0.6492362,0.65757304,0.2933969,0.21640465,0.028308064,0.022918433,0.09136981,0.072401255,0.006663531,0.006695628,0.0033284128,0.0032275617,0.003293693,0.0032411814
6,292.46945,326.42126,252.52252,372.8113,198.61703,411.69052,176.54779,445.65094,163.61636,392.17926,179.23235,370.12317,218.60551,396.57236,224.24615,341.44092,284.6738,464.43365,425.4426,430.49985,411.99323,423.40958,466.30444,473.5382,469.6892,467.6632,481.3894,480.73975,458.09003,459.63458,458.38843,455.61127,463.088,462.12738,0.9737673,0.98874044,0.9876671,0.71787953,0.6495468,0.24888596,0.22291732,0.016411513,0.023377448,0.064367086,0.07692924,0.0049789846,0.006198734,0.0029850006,0.003715843,0.0032652915,0.0038516521
7,292.38364,325.4373,252.16199,373.1433,201.36612,414.04834,184.31859,445.69144,168.01224,394.59183,177.75948,369.6171,221.99786,397.11176,223.22809,339.7318,281.17902,462.36053,421.32108,428.55258,406.88794,423.15936,466.11865,476.63214,470.64966,469.82233,480.09253,478.857,449.72687,452.06885,451.28345,449.91565,458.96887,458.6029,0.97657216,0.9905547,0.98841554,0.75904137,0.63289857,0.2408835,0.23448518,0.013951838,0.023148417,0.058891416,0.0770815,0.0042928755,0.0057039857,0.0029948354,0.003983438,0.0033843815,0.004210055
8,294.47498,327.9395,255.131,373.1517,203.07376,415.72186,177.08339,444.37268,150.67496,374.1003,134.54547,366.79083,212.35437,393.27142,198.72482,318.954,242.7995,453.36932,413.53918,419.07706,403.7809,416.25214,462.05768,473.7531,461.69055,469.53076,473.1881,486.80908,443.70587,444.8708,461.52625,457.86572,468.56842,466.21783,0.97100526,0.98784375,0.986559,0.7123252,0.66401666,0.23787296,0.22377989,0.016376436,0.020672232,0.059431434,0.061449498,0.005765319,0.0069026947,0.003098607,0.0035806894,0.0028731227,0.003273785
9,297.07944,326.50748,255.51971,366.70084,203.17596,420.95935,164.8771,458.88263,127.01138,389.5298,123.711395,370.17157,208.51688,395.69092,183.11163,309.1436,234.8085,414.6404,374.40793,380.35703,377.36017,393.2041,468.86047,475.47626,475.35272,464.37476,479.49658,482.4013,428.10297,429.4155,459.16248,461.7561,467.21307,479.8672,0.98510873,0.99173284,0.99419224,0.7519936,0.8834717,0.3728775,0.4554361,0.010020673,0.022996783,0.024864197,0.04241234,0.0060688853,0.008919895,0.0029699504,0.0040519834,0.0024475157,0.0030557215
