frame,kp_0_x,kp_1_x,kp_2_x,kp_3_x,kp_4_x,kp_5_x,kp_6_x,kp_7_x,kp_8_x,kp_9_x,kp_10_x,kp_11_x,kp_12_x,kp_13_x,kp_14_x,kp_15_x,kp_16_x,kp_0_y,kp_1_y,kp_2_y,kp_3_y,kp_4_y,kp_5_y,kp_6_y,kp_7_y,kp_8_y,kp_9_y,kp_10_y,kp_11_y,kp_12_y,kp_13_y,kp_14_y,kp_15_y,kp_16_y,kp_0_conf,kp_1_conf,kp_2_conf,kp_3_conf,kp_4_conf,kp_5_conf,kp_6_conf,kp_7_conf,kp_8_conf,kp_9_conf,kp_10_conf,kp_11_conf,kp_12_conf,kp_13_conf,kp_14_conf,kp_15_conf,kp_16_conf
0,404.00885,467.54254,349.1178,545.97986,274.38757,643.34766,151.34021,717.16144,-8.122437,639.9829,39.00064,490.69952,180.40845,538.7009,157.94452,407.67743,281.91687,662.78784,613.5655,609.0302,672.1571,656.6751,975.6799,881.76605,1191.0066,855.17114,1131.5408,496.80923,1251.9609,1216.3827,1056.9352,1035.3911,1131.3718,1115.2981,0.9968103,0.9926666,0.99553216,0.76919985,0.86650586,0.90296537,0.9736752,0.15838733,0.68573797,0.27477652,0.7673718,0.014930129,0.035683572,0.0007760227,0.0020852685,0.0001603365,0.000320822
1,404.45294,467.8202,349.9342,546.52966,275.72168,645.8796,150.89423,719.6225,-9.89389,637.3169,39.08011,491.09753,180.18231,541.90857,162.0423,408.7102,292.49182,662.14526,613.0735,608.6334,671.63074,656.32446,978.82654,884.27386,1194.9358,857.93146,1127.0941,497.9694,1251.8107,1216.1763,1050.7528,1029.0435,1126.1902,1111.8115,0.9966653,0.9924203,0.9953805,0.7733264,0.8644407,0.8987702,0.9737867,0.14484265,0.6775158,0.2628663,0.76377445,0.013366401,0.032888174,0.00075790286,0.002103418,0.00016450882,0.00033718348
2,404.86847,468.64044,350.84552,547.3323,276.77106,646.84094,150.68115,721.27295,-9.468658,638.8749,39.511444,492.73157,181.08188,542.04913,159.9689,410.85327,294.0302,662.0696,613.05804,608.1294,672.037,655.49097,979.66437,884.8988,1194.584,857.60736,1130.9819,497.04245,1251.8159,1215.9766,1050.7078,1028.8281,1131.242,1116.3566,0.99669206,0.992457,0.99541247,0.7741089,0.8650135,0.8986826,0.9740437,0.14567634,0.6818596,0.26607785,0.7687551,0.01331684,0.032915443,0.0007648468,0.0021299124,0.00016406178,0.00033697486
3,405.34656,469.38257,351.42474,547.97577,277.18634,646.7822,150.84888,720.3822,-9.830933,637.48755,38.52481,492.6546,181.59586,542.8784,162.42029,410.2246,297.16144,662.01624,612.8812,607.3098,671.80414,653.81274,980.86584,883.7537,1197.0326,858.23376,1125.1183,498.2202,1249.6348,1212.7063,1050.578,1026.008,1129.1415,1112.749,0.99662495,0.9924134,0.9953202,0.77586627,0.86246383,0.897478,0.9732583,0.14075139,0.66904896,0.2603742,0.75982213,0.012861073,0.031654388,0.00076681376,0.0021260977,0.00016698241,0.0003426075
4,405.57477,470.15778,351.63068,548.9057,276.92694,646.17505,149.86282,718.65125,-9.949249,637.4776,39.59262,491.9486,179.85992,543.3468,161.11407,412.2276,292.96704,661.7071,612.73364,606.656,672.8716,653.6296,981.13367,883.60284,1200.6418,862.39655,1131.2559,499.20584,1250.7307,1213.5359,1056.6166,1031.1112,1131.2505,1112.445,0.9967297,0.9926026,0.99540687,0.7766018,0.86308414,0.9021907,0.9736912,0.15029371,0.67411184,0.26972216,0.76359534,0.013770968,0.03308931,0.0007659197,0.0020782948,0.00016018748,0.00032377243
5,406.2354,470.94434,352.5415,549.28345,277.70026,644.8609,150.2461,716.763,-9.100769,636.71326,39.079987,489.54797,178.91849,539.0825,160.46692,408.30908,293.3203,661.55743,613.0334,606.5284,673.9026,653.7122,981.52246,883.6537,1198.3538,861.21,1130.054,500.03006,1248.5908,1211.1735,1053.9689,1028.2521,1128.3588,1109.3849,0.9967007,0.99243647,0.9954236,0.76997656,0.8654976,0.89994526,0.9731624,0.1457516,0.66718435,0.26325727,0.7578222,0.013388038,0.032215506,0.00077047944,0.0020838082,0.00016495585,0.00033169985
6,406.39954,471.534,353.11,549.82184,278.48773,645.1785,150.00922,718.14954,-8.466522,636.18665,39.391907,489.91248,179.04614,537.00635,157.51263,407.42725,292.96503,661.753,613.0577,606.18945,674.329,653.2783,981.27637,885.191,1190.9803,859.6395,1123.4219,500.04892,1247.668,1210.752,1055.3235,1030.2129,1137.1277,1118.5149,0.99669415,0.9922968,0.9955088,0.763851,0.867813,0.89283967,0.9732225,0.1364581,0.6721021,0.25937694,0.7640661,0.013068259,0.032597393,0.0007741153,0.002162218,0.00016346574,0.0003361404
7,406.56006,471.77795,353.29932,550.2747,278.5163,643.92615,149.87946,717.3414,-9.020508,639.1823,39.79077,488.6059,177.93793,535.9226,157.23273,406.13318,288.3228,661.6189,613.429,606.5526,674.6288,653.399,979.4756,883.37146,1192.0945,860.0072,1130.8943,499.5907,1251.9634,1215.2905,1057.8179,1033.923,1135.4099,1117.419,0.99677557,0.9924686,0.9955414,0.7660379,0.8676692,0.8994765,0.97385347,0.14846411,0.6790108,0.26701266,0.76491773,0.013953537,0.033886373,0.0007663369,0.0020900369,0.00015950203,0.0003220439
8,406.72083,471.92932,353.2943,550.3937,278.41388,644.19836,150.0365,716.4381,-8.74646,636.0686,39.61908,487.92462,177.4657,532.9863,155.69482,402.8435,288.64105,662.061,613.59717,606.82983,674.6133,653.73706,980.0276,884.1682,1192.2842,860.847,1125.6641,499.8481,1251.3545,1214.5825,1056.9248,1032.6632,1133.9293,1116.0269,0.99671954,0.99228954,0.995516,0.76256275,0.8674722,0.8951088,0.974007,0.14029565,0.67935765,0.2607476,0.7657939,0.013370603,0.033358455,0.00075528026,0.0021065474,0.00015947223,0.0003271401
9,406.86884,472.01727,353.46814,550.44775,278.69672,644.9186,150.36087,717.9304,-9.555115,637.7853,39.41501,488.7185,178.3092,533.2895,156.59851,403.30927,290.90247,662.1808,613.6476,606.93933,674.52686,653.8126,979.76086,884.32605,1190.9944,860.3572,1125.6174,499.08112,1250.0142,1213.3142,1052.868,1028.274,1132.7338,1113.6423,0.99671876,0.9923041,0.9955027,0.76333714,0.8673936,0.89549136,0.9739636,0.14055675,0.678464,0.26241267,0.7666625,0.013034999,0.03246686,0.0007543862,0.0020995736,0.00016096234,0.0003298223
